Datum,Name,Beschreibung,Typ,IMP,PRB,MAG,Owner,Gegenmaßnahme,Nachher IMP,Nachher PRB,Nachher MAG
1.12.2021,Fehler fallen nicht auf,Ein Fehler wird nicht berücksichtigt bzw fällt nicht auf oder nur dem Kunden,Technisch,3,0.8,2.4,Niklas Werner,Ein Testkatalog wird vor der Implementierung erstellt. Es werden regelmäßig Tests von allen Teammitgliedern durchgeführt,3,0.3,0.9
28.11.2021,Aufwand unterschätzt,Die Zeit für eine Aufgabe wurde zu optimistisch geplant,Zeitlich,3,0.60,1.8,Carl Kirchoff,Aufgaben werden von mehreren zuständigen Teammitgliedern unabhängig geschätzt. Bei größeren Aufgaben sollte eine Pufferzeit eingeplant werden,2,0.40,0.8
28.11.2021,Uneinigkeiten im Team,Es gibt einen Konflikt aufgrund unterschiedlicher Vorstellungen zur Vorgehensweise,Technisch,2,0.70,1.4,Carl Kirchhoff,"Häufige Team-Meetings zur Absprache, Klare Aufgaben- und Rollenverteilung und bei Unklarheiten Besprechung und Entscheidung im Team",3,0.20,0.6
28.11.2021,Unklare Zieldefinition,Es treten Uneinigkeiten auf aufgrund des schwammig definierten Zieles oder falsches Ziel,Technisch,4,0.80,3.2,Carl Kirchhoff,Frühes erarbeiten und ständiges Verbessern der Vision und ausreichend Team-Meetings für einen gleichen Wissensstand,4,0.15,0.6
1.12.2021,Falsche Zieldefinition,Eine falsch erarbeitete Vision führt zur Entwicklung eines falschen Ergebnis,Technisch,4,0.5,2,Carl Kirchhoff,Genaue Protokollierung bei Meetings und Unklarheiten beim Auftraggeber erfragen,4,0.15,0.6
28.11.2021,Wechselnde Vorstellungen des Auftragsgebers,Unklare Vorstellungen des Auftraggebers verzögern den Fortschritt des Projekts und leiten dazu Aufgaben zu wiederholen,Ressource,4,0.30,1.2,Carl Kirchhoff,"Die Vorstellungen des Auftragsgebers und das benötigte Ergebnis müssen durch häufige Treffen schnell erkannt werden, dabei muss die vorhandene vorher geplant und kommuniziert werden",4,0.15,0.6
28.11.2021,Ergebnis wird nicht vom Kunden akzeptiert,Das Ergebnis ist unverständlich und schlecht nutzbar,Technisch,5,0.30,1.5,Carl Kirchhoff,Häufige Treffen mit dem Auftragsgeber zur Absprache des gewollten Ergebnis und regelmäßige Präsentation des aktuellen Stand und Vorstellungen des Teams zur Absprache des benötigten Ergebnis,5,0.10,0.5
1.12.2021,Sicherheitslücke,Ein Programmierfehler erlaubt es in das System einzudringen,Technisch,5,0.3,1.5,Niklas Werner,Automatische Sicherheitstests werden durchgeführt. Zudem werden sämtliche Nutzereingaben sanitized.,5,0.1,0.5
1.12.2021,Entwurf ist unzureichend,"Der Entwurf reicht nicht aus, um alle Kundenanforderungen zu erfüllen",Technisch,3,0.7,2.1,Niklas Werner,Diagramme wie Use-Case oder ER-Modell werden frühzeitig entwickelt und mit der Vision abgeglichen. Zudem werden diese dem Kunden vorgestellt.,3,0.15,0.45
28.11.2021,Teammitglied fällt aus,Mitglied des Teams kann (dauerhaft oder zeitweise) nicht mehr am Projekt teilnehmen,Ressource,4,0.20,0.8,Carl Kirchhoff,Backup-Rollen nutzen und Know-How zwischen diesen Personen kontinuierlich teilen,2,0.20,0.4
28.11.2021,Geplante Termine verzögern sich,Ein zugesagter Termin kann nicht eingehalten werden,Zeitlich,4,0.10,0.4,Carl Kirchhoff,"Termine müssen sehr realistisch geschätzt werden und ein Puffer wird berücksichtigt. Wenn ein knapper Termin vereinbart wird, müssen die möglichen Komplikationen dabei abgesprochen werden",4,0.10,0.4
1.12.2021,Lokaler Datenverlust,Ein Teammitglied verliert seine lokal erarbeiteten Daten,Technisch,3,0.3,0.9,Niklas Werner,Häufiges committen und pushen in das GitHub Repository,1,0.3,0.3
1.12.2021,Aufgabe wird doppelt erledigt,Eine Aufgabe wird von zwei Teammitgliedern parall bearbeitet.,Ressource,2,0.3,0.6,Niklas Werner,Verwenden der GitHub Issues bzw. einen Kanban Boards mit Zuteiltung der Aufgaben,2,0.1,0.2
28.11.2021,Unklare Projektrollen,Diskussionen darüber wer eine Aufgabe erfüllen sollte,Zeitlich,1,0.30,0.3,Carl Kirchhoff,"Benötigte Rollen werden möglichst schnell, an geeignete Mitglieder verteilt. Bei Komplikationen müssen diese flexibel austauschbar sein",1,0.10,0.1
20.04.2022,zu langsamer Programmiervorschritt, Die vorhanden Programmierkenntnisse einzelner Teammitglieder reichen nicht mehr aus um die Issues in angemessenen Tempo zu erfüllen,Ressource,4,0.7,2.8,Nick Kemter,Mehr in zweier Teamsarbeiten um Fehler und Kompetenzen zu bündeln,4,0.4,1.6

20.04.2022,Programmieraufgaben zu Komplex, Die vorhanden Programmierkenntnisse reichen nicht mehr aus um die Aufgaben zu erfüllen,Ressource,5,0.4,2,Nick Kemter,Aktives Lernen und Üben neuer Programmierfähigkeiten,0.2,1

20.04.2022,zu wenig Zeit für Projekt, Aus verschiedenen Gründen verlieren Teammitglieder die Lust an dem Projekt und erlidigen dann wenige Aufgaben,Ressource,4,0.6,2.4,Nick Kemter,Bei der Aufgabenverteilung darauf achten dass das Interesse wieder geweckt wird,2,0.5,1


7.05.2022,unbekannte Tools, Teammitglieder nutzen Programme Addons etc. wo nicht alle Funktionen/Funktionsweisen bekannt sind welche zu Fehlern bzw. Zeitvergeudung führen, Technisch,2,0.5,1,Nick Kemter,Bloß bekannte/weitverbreitete Tools einsetzen und bei unbekannten sich mehr Informieren,0.2,0.4
13.06.2022,Keine Lust der Teammitglieder, Aus verschiedenen Gründen verlieren Teammitglieder die Lust an dem Projekt ,Ressource
